"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"DDD","3D Systems Corporation","48.93","5378378651.94","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ddd",
"MMM","3M Company","141.92","91959781342.24","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/mmm",
"WBAI","500.com Limited","36.39","1265610612.03","n/a","2013","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/wbai",
"WUBA","58.com Inc.","49.97","3969534149.62","n/a","2013","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/wuba",
"AHC","A.H. Belo Corporation","11.23","246547822.16","n/a","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/ahc",
"ATEN","A10 Networks, Inc.","10.34","618470101.04","n/a","2014","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/aten",
"AIR","AAR Corp.","27.32","1081610028.52","n/a","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","25","1807786250","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aan",
"ABB","ABB Ltd","22.62","51820553374.98","n/a","n/a","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","42.06","63245581327.98","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","53.9","85792582783.6","n/a","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abbv",
"ANF","Abercrombie & Fitch Company","40.71","2962856701.8","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/anf",
"GCH","Aberdeen Greater China Fund, Inc.","10.87","99995880.11","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/gch",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","7.25","102447691","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/jeq",
"SGF","Aberdeen Singapore Fund, Inc.","13.11","100314940.68","n/a","1990","n/a","n/a","http://www.nasdaq.com/symbol/sgf",
"ABM","ABM Industries Incorporated","25.56","1431427350.6","n/a","n/a","Finance","Diversified Commercial Services","http://www.nasdaq.com/symbol/abm",
"AKR","Acadia Realty Trust","28.75","1705400205","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/akr",
"ACN","Accenture plc.","79.01","52141990240.56","n/a","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn",
"ACMP","Access Midstream Partmers, L.P.","61.32","12477061674.84","n/a","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/acmp",
"ACCO","Acco Brands Corporation","7","800982875","n/a","n/a","Consumer Durables","Publishing","http://www.nasdaq.com/symbol/acco",
"ACW","Accuride Corporation New","5.05","240980030.9","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/acw",
"ACE","Ace Limited","103.5","34744845982.5","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ace",
"ATV","Acorn International, Inc.","1.92","52959864.96","n/a","2007","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/atv",
"ACT","Actavis, Inc.","215.43","56929685401.59","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/act",
"ATU","Actuant Corporation","33.11","2275640333.89","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/atu",
"AYI","Acuity Brands Inc","117.31","5069511529.98","n/a","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/ayi",
"ADX","Adams Express Company (The)","13.77","1280903879.34","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adx",
"AGRO","Adecoagro S.A.","9.6","1174867200","n/a","2011","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/agro",
"ADPT","Adeptus Health Inc.","24.4","501444375.6","n/a","2014","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/adpt",
"PVD","Administradora de Fondos de Pensiones-Provida, S.A.","90.38","1996293014.12","n/a","1994","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pvd",
"ADT","ADT Corporation","36.41","6335636377.4","n/a","n/a","Consumer Services","Diversified Commercial Services","http://www.nasdaq.com/symbol/adt",
"AAP","Advance Auto Parts Inc","131.47","9591346257.86","n/a","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/aap",
"WMS","Advanced Drainage Systems, Inc.","15.86","836586626.46","n/a","2014","Capital Goods","Containers/Packaging","http://www.nasdaq.com/symbol/wms",
"AMD","Advanced Micro Devices, Inc.","4.13","3171456087.59","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/amd",
"ASX","Advanced Semiconductor Engineering, Inc.","6.28","9827220376.52","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/asx",
"AAV","Advantage Oil & Gas Ltd","5.65","956902430.3","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/aav",
"ATE","Advantest Corporation (Kabushiki Kaisha Advantest) ADS","11.47","1997921724.28","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/ate",
"AVK","Advent Claymore Convertible Securities and Income Fund","19.55","461006125.8","n/a","2003","n/a","n/a","http://www.nasdaq.com/symbol/avk",
"AGC","Advent Claymore Convertible Securities and Income Fund II","7.26","234067627.2","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/agc",
"LCM","Advent/Claymore Enhanced Growth & Income Fund","10.05","136710401.25","n/a","2005","n/a","n/a","http://www.nasdaq.com/symbol/lcm",
"ACM","Aecom Technology Corporation","36.45","3626034518.25","n/a","2007","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/acm",
"ANW","Aegean Marine Petroleum Network Inc.","10.07","476029241.4","n/a","2006","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/anw",
"AEB","Aegon NV","23.88","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeb",
"AED","Aegon NV","25.51","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aed",
"AEG","Aegon NV","7.83","19486203814.53","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeg",
"AEH","Aegon NV","25.76","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeh",
"AEK","Aegon NV","28.52","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aek",
"AER","Aercap Holdings N.V.","47.05","9988057288.05","n/a","2006","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aer",
"ARX","Aeroflex Holding Corp.","10.76","916912280.96","n/a","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/arx",
"HIVE","Aerohive Networks, Inc.","8.49","388094413.05","n/a","2014","Technology","EDP Services","http://www.nasdaq.com/symbol/hive",
"ARO","Aeropostale Inc","3.17","249289988.75","n/a","2002","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/aro",
"AET","Aetna Inc.","77.72","27559512000","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aet",
"AFM","Affiliated Managers Group, Inc.","26.01","0","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/afm",
"AMG","Affiliated Managers Group, Inc.","197.98","10998327505.6","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/amg",
"MGR","Affiliated Managers Group, Inc.","25.93","0","n/a","2012","Finance","Investment Managers","http://www.nasdaq.com/symbol/mgr",
"AFL","Aflac Incorporated","60.1","27228056907.2","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/afl",
"AFSD","Aflac Incorporated","24.7","0","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/afsd",
"MITT","AG Mortgage Investment Trust, Inc.","18.92","537031845.24","n/a","2011","n/a","n/a","http://www.nasdaq.com/symbol/mitt",
"MITT^A","AG Mortgage Investment Trust, Inc.","25.05","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mitt^a",
"MITT^B","AG Mortgage Investment Trust, Inc.","24.6201","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mitt^b",
"AGCO","AGCO Corporation","48.49","4548137006.4","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/agco",
"A","Agilent Technologies, Inc.","57.58","19189163082.64","n/a","1999","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/a",
"GAS","AGL Resources, Inc.","51.73","6180624822.47","n/a","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/gas",
"AEM","Agnico Eagle Mines Limited","39.47","8272084235.16","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aem",
"ADC","Agree Realty Corporation","29.94","447908926.92","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/adc",
"GRO","Agria Corporation","1.28","70890624","n/a","2007","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/gro",
"AGU","Agrium Inc.","92.06","13229961840.54","n/a","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/agu",
"AL","Air Lease Corporation","36.07","3692991348.91","n/a","2011","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/al",
"APD","Air Products and Chemicals, Inc.","132.78","28284227699.94","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/apd",
"AYR","Aircastle Limited","18.81","1523748968.28","n/a","2006","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/ayr",
"ARG","Airgas, Inc.","108.42","8080642237.98","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/arg",
"AKS","AK Steel Holding Corporation","9.59","1311895716.18","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/aks",
